央视频道,#genre#
CCTV1,http://223.10.39.92:8083/udp/239.1.1.7:8007
CCTV2,http://125.70.160.12:4000/udp/239.93.1.23:6000
CCTV3,http://223.10.39.92:8083/udp/239.1.1.9:8009
CCTV4,http://223.10.39.92:8083/udp/239.1.1.10:8010
CCTV5,http://223.10.39.92:8083/udp/239.1.1.11:8011
CCTV5+,http://223.10.39.92:8083/udp/239.1.1.12:8012
CCTV6,http://115.206.113.205:4022/udp/233.50.200.109:5140
CCTV7,http://125.70.160.12:4000/udp/239.93.1.67:5140
CCTV8,http://223.10.39.92:8083/udp/239.1.1.15:8015
CCTV9,http://223.10.39.92:8083/udp/239.1.1.16:8016
CCTV10,http://223.10.39.92:8083/udp/239.1.1.17:8017
CCTV11,http://60.164.229.63:4040/udp/239.255.30.62:8231
CCTV12,http://60.164.229.63:4040/udp/239.255.30.182:8231
CCTV13,http://223.10.39.92:8083/udp/239.1.1.20:8020
CCTV14,http://223.10.39.92:8083/udp/239.1.1.21:8021
CCTV15,http://27.11.52.246:8010/udp/225.0.4.220:7980
CCTV16,http://60.164.229.63:4040/udp/239.255.30.88:8231
CCTV17,http://223.10.39.92:8083/udp/239.1.1.23:8023
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8
CHC动作电影,http://222.241.144.172:8888/udp/239.76.245.243:1234
CHC家庭影院,http://222.241.144.172:8888/udp/239.76.245.241:1234
世界地理,http://223.10.39.92:8083/udp/239.1.1.99:8099
央视台球,http://223.10.39.92:8083/udp/239.1.1.100:8100
风云足球,http://223.10.39.92:8083/udp/239.1.1.101:8101
兵器科技,http://223.10.39.92:8083/udp/239.1.1.97:8097
第一剧场,http://223.10.39.92:8083/udp/239.1.1.94:8094

卫视频道,#genre#
安徽卫视,http://125.70.160.12:4000/udp/239.93.1.106:5140
北京卫视,http://125.70.160.12:4000/udp/239.93.0.180:5140
东方卫视,http://125.70.160.12:4000/udp/239.93.0.123:5140
东南卫视,http://125.70.160.12:4000/udp/239.93.0.42:5140
甘肃卫视,http://125.70.160.12:4000/udp/239.93.0.81:5140
广东卫视,http://36.24.84.62:8888/udp/233.50.200.149:5140
广西卫视,http://118.112.148.228:58888/udp/239.93.42.46:5140
贵州卫视,http://223.10.39.92:8083/udp/239.1.1.43:8043
海南卫视,http://221.198.182.212:8888/udp/225.1.2.82:5002
河北卫视,http://36.24.84.62:8888/udp/233.50.200.105:5140
河南卫视,http://223.10.39.92:8083/udp/239.1.1.34:8034
湖北卫视,http://223.10.39.92:8083/udp/239.1.1.32:8032
湖南卫视,http://115.206.113.205:4022/udp/233.50.200.190:5140
吉林卫视,http://125.70.160.12:4000/udp/239.93.0.248:5140
江苏卫视,http://60.164.229.63:4040/udp/239.255.30.131:8231
江西卫视,http://223.10.39.92:8083/udp/239.1.1.52:8052
辽宁卫视,http://60.164.229.63:4040/udp/239.255.30.69:8231
山东卫视,http://223.10.39.92:8083/udp/239.1.1.47:8047
山西卫视,http://223.10.39.92:8083/udp/239.1.1.1:8001
陕西卫视,http://175.10.75.211:4022/udp/239.76.254.76:9000
深圳卫视,http://223.10.39.92:8083/udp/239.1.1.39:8039
四川卫视,http://223.10.39.92:8083/udp/239.1.1.29:8029
天津卫视,http://223.10.39.92:8083/udp/239.1.1.46:8046
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
云南卫视,http://60.164.229.63:4040/udp/239.255.29.2:8231
浙江卫视,http://115.206.113.205:4022/udp/233.50.201.100:5140
重庆卫视,http://223.10.39.92:8083/udp/239.1.1.36:8036
黑龙江卫视,http://36.24.84.62:8888/udp/233.50.200.189:5140
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

地方频道,#genre#
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

数字频道,#genre#
全纪实,http://60.164.229.63:4040/udp/239.255.29.17:8231
游戏风云,http://223.10.39.92:8083/udp/239.1.1.83:8083
五星体育,http://58.41.25.197:8001/udp/239.45.3.210:5140
纪实人文,http://223.10.39.92:8083/udp/239.1.1.45:8045

港·澳·台,#genre#
明珠台,http://bziyunshao.synology.me:8890/bysid/2
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
澳视澳门,http://183.237.246.14:9931/tsfile/live/1039_1.m3u8
